Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
10,Text,01/08/1989,The King James Version of the Bible,en,,Bible,BS,Banned Books List from the American Library Association
17,Text,25/06/2008,"The Book of Mormon
An Account Written by the Hand of Mormon, Upon Plates Taken from the Plates of Nephi",en,"Church of Jesus Christ of Latter-day Saints; Smith, Joseph, Jr., 1805-1844",Church of Jesus Christ of Latter-day Saints -- Sacred books; Mormon Church -- Sacred books,BX,Christianity; Latter Day Saints
30,Text,01/04/1992,"The Bible, King James Version, Complete",en,,Bible,BS,
59,Text,01/03/1993,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,en,"Descartes, René, 1596-1650; Veitch, John, 1829-1894 [Translator]",Science -- Methodology; Methodology,B,Harvard Classics; Philosophy
124,Text,01/04/1994,"Deuterocanonical Books of the Bible
Apocrypha",en,Anonymous,Bible. Apocrypha; Apocryphal books (Old Testament),BS,Christianity
130,Text,01/05/1994,Orthodoxy,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936","Apologetics; Chesterton, G. K. (Gilbert Keith), 1874-1936; Christianity -- Essence, genius, nature",BR,Christianity
162,Text,01/09/1994,Take Me for a Ride: Coming of Age in a Destructive Cult,en,"Laxer, Mark E.","Lenz, Frederick, 1950-; Cults -- United States",BL,
216,Text,01/02/1995,"The Tao Teh King, or the Tao and its Characteristics",en,"Laozi; Legge, James, 1815-1897 [Translator]","Philosophy, Chinese; Taoism -- Sacred books",BL,Paganism
272,Text,01/06/1995,An Open Letter on Translating,en,"Luther, Martin, 1483-1546; Mann, Gary [Translator]",Reformation -- Germany; Bible -- Translating,BR,Christianity
273,Text,01/06/1995,The Smalcald Articles,en,"Luther, Martin, 1483-1546; Bente, F. (Friedrich), 1858-1930 [Translator]; Dau, W. H. T. (William Herman Theodore), 1864-1944 [Translator]",Lutheran Church -- Doctrines -- Early works to 1800; Lutheran Church -- Relations -- Catholic Church -- Early works to 1800; Catholic Church -- Relations -- Lutheran Church -- Early works to 1800; Lutheran Church -- Creeds -- Early works to 1800,BX,Christianity
274,Text,01/06/1995,Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,en,"Luther, Martin, 1483-1546",Indulgences; Reformation -- Germany -- Sources,BR,Christianity; Harvard Classics; Banned Books from Anne Haight's list
275,Text,29/06/2008,"The Augsburg Confession
The confession of faith, which was submitted to His Imperial Majesty Charles V at the diet of Augsburg in the year 1530",en,"Melanchthon, Philipp, 1497-1560","Lutheran Church -- Doctrines; Theology, Doctrinal",BX,
281,Text,01/06/1995,Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu,en,"Stevenson, Robert Louis, 1850-1894","Damien, Saint, Father, 1840-1889",BX,
368,Text,29/06/2008,Acres of Diamonds: Our Every-day Opportunities,en,"Conwell, Russell H., 1843-1925; Shackleton, Robert, 1860-1923 [Contributor]","Success; Temple University; Conwell, Russell H., 1843-1925",BJ,
398,Text,01/01/1996,The First Book of Adam and Eve,en,"Platt, Rutherford Hayes, 1894-1975",Apocryphal books (Old Testament); Adam (Biblical figure); Eve (Biblical figure),BS,Christianity
417,Text,01/02/1996,"Dr. Martin Luther's Deutsche Geistliche Lieder
The Hymns of Martin Luther Set to Their Original Melodies, With an English Version",de; en,"Luther, Martin, 1483-1546; Allen, Nathan H. (Nathan Hale), 1848-1925 [Editor]; Bacon, Leonard Woolsey, 1830-1907 [Editor]","Hymns, German; Lutheran Church -- Hymns",BX,Christianity
418,Text,01/02/1996,A Treatise on Good Works,en,"Luther, Martin, 1483-1546; Reu, Johann Michael, 1869-1943 [Translator]",Lutheran Church -- Doctrines; Good works (Theology),BR,Christianity
439,Text,01/02/1996,The Vital Message,en,"Doyle, Arthur Conan, 1859-1930",Spiritualism,BF,
448,Text,01/02/1996,The Psychology of Revolution,en,"Le Bon, Gustave, 1841-1931","Revolutions; Social psychology; France -- History -- Revolution, 1789-1799 -- Causes",BF; DC,Psychology
449,Text,01/03/1996,"Pathology of Lying, Accusation, and Swindling: A Study in Forensic Psychology",en,"Healy, Mary Tenney; Healy, William, 1869-1963",Criminal psychology; Swindlers and swindling,BF,Psychology
455,Text,01/03/1996,The University of Hard Knocks,en,"Parlette, Ralph Albert, 1870-1930",Success; Conduct of life; Character,BJ,
505,Text,01/04/1996,History of the Warfare of Science with Theology in Christendom,en,"White, Andrew Dickson, 1832-1918",Religion and science -- History,BL,
563,Text,01/06/1996,"The Planet Mars and Its Inhabitants, a Psychic Revelation",en,"Kennon, J. L.",Spiritualism; Mars (Planet) -- Miscellanea,BF,
570,Text,01/06/1996,"The Moravians in Georgia, 1735-1740",en,"Fries, Adelaide L. (Adelaide Lisetta), 1871-1949",Moravians -- Georgia,BX,
607,Text,01/07/1996,Die Augsburger Confession,de; la,"Melanchthon, Philipp, 1497-1560","Lutheran Church -- Doctrines; Theology, Doctrinal",BX,DE Sachbuch
616,Text,01/08/1996,"Prayers Written At Vailima, and A Lowden Sabbath Morn",en,"Stevenson, Robert Louis, 1850-1894; Stevenson, Fanny Van de Grift, 1840-1914 [Author of introduction, etc.]","Stevenson, Robert Louis, 1850-1894 -- Travel -- Samoan Islands; Prayers; Sabbath -- Poetry",BV; PR,Christianity
621,Text,01/08/1996,The Varieties of Religious Experience: A Study in Human Nature,en,"James, William, 1842-1910","Religion; Psychology, Religious; Philosophy and religion; Conversion; Experience (Religion)",BL,
639,Text,01/08/1996,"The God-Idea of the Ancients; Or, Sex in Religion",en,"Gamble, Eliza Burt, 1841-1920",Religion; Women and religion; Sex -- Religious aspects,BL,
743,Text,01/12/1996,"Thoughts on Man, His Nature, Productions and Discoveries
Interspersed with Some Particulars Respecting the Author",en,"Godwin, William, 1756-1836",Human beings; Psychology -- Early works to 1850,BF,
825,Text,01/02/1997,"Latin Vulgate, Bible Book Titles and Names",la,Anonymous,Bible,BS,Christianity
826,Text,01/02/1997,"Latin Vulgate, Esther: Liber Esther",la,Anonymous,Bible. Esther,BS,Christianity
827,Text,01/02/1997,"Latin Vulgate, Esther: Liber Esther",la,Anonymous,Bible. Esther,BS,Christianity
828,Text,01/02/1997,"Latin Vulgate, Daniel: Prophetia Danielis",la,Anonymous,Bible. Daniel,BS,Christianity
853,Text,01/03/1997,The Confutatio Pontificia,en,"Reu, Johann Michael, 1869-1943 [Editor]",Protestantism,BX,
919,Text,01/05/1997,Ethics — Part 1,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
920,Text,01/05/1997,Ethics — Part 2,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
922,Text,01/05/1997,Sunday Under Three Heads,en,"Dickens, Charles, 1812-1870",England -- Social life and customs -- 19th century; Sunday,BV,
926,Text,01/05/1997,"Ten Thousand Dreams Interpreted; Or, What's in a Dream
A Scientific and Practical Exposition",en,"Miller, Gustavus Hindman, 1857-1929",Dreams -- Dictionaries; Dream interpretation; Dreams,BF,Psychology; Reference
935,Text,01/06/1997,Self Help; with Illustrations of Conduct and Perseverance,en,"Smiles, Samuel, 1812-1904",Conduct of life,BJ,
948,Text,01/06/1997,Ethics — Part 3,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
971,Text,01/07/1997,Ethics — Part 4,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
975,Text,01/07/1997,Ethics — Part 5,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
989,Text,01/07/1997,Theologico-Political Treatise — Part 1,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Philosophy and religion -- Early works to 1800; Free thought -- Early works to 1800; Political science -- Early works to 1800,B,Philosophy
990,Text,01/07/1997,Theologico-Political Treatise — Part 2,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Philosophy and religion -- Early works to 1800; Free thought -- Early works to 1800; Political science -- Early works to 1800,B,Philosophy
991,Text,16/07/1997,A Theological-Political Treatise [Part III],en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Philosophy and religion -- Early works to 1800; Free thought -- Early works to 1800; Political science -- Early works to 1800,B,Philosophy
992,Text,16/07/1997,A Theological-Political Treatise [Part IV],en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Philosophy and religion -- Early works to 1800; Free thought -- Early works to 1800; Political science -- Early works to 1800,B,Philosophy
1016,Text,01/08/1997,On the Improvement of the Understanding,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Philosophy and religion; Free thought,B,Philosophy
1046,Text,03/05/2006,"God, the Invisible King",en,"Wells, H. G. (Herbert George), 1866-1946",God (Christianity),BT,"Bestsellers, American, 1895-1923"
1061,Text,01/10/1997,"Myths and Myth-Makers
Old Tales and Superstitions Interpreted by Comparative Mythology",en,"Fiske, John, 1842-1901",Folklore; Mythology,BL; GR,
1177,Text,01/01/1998,The Memorabilia,en,"Xenophon, 431 BCE-350? BCE; Dakyns, Henry Graham, 1838-1911 [Translator]","Classical literature; Socrates -- Trials, litigation, etc. -- Early works to 1800; Philosophers, Ancient -- Biography -- Early works to 1800",B; PA,
1185,Text,01/02/1998,History of the Conflict Between Religion and Science,en,"Draper, John William, 1811-1882",Religion and science -- History,BL,
1226,Text,01/03/1998,"The Journal of Abnormal Psychology, Volume 10",en,Various,"Psychology, Pathological -- Periodicals; Psychology -- Periodicals; Social psychology -- Periodicals",BF,Psychology
1233,Text,01/03/1998,The Origin and Nature of the Emotions; Miscellaneous Papers,en,"Crile, George Washington, 1864-1943",Emotions; Psychophysiology,BF; QP,Physiology
1271,Text,01/04/1998,Bygone Beliefs: Being a Series of Excursions in the Byways of Thought,en,"Redgrove, H. Stanley (Herbert Stanley), 1887-1943",Magic; Superstition; Alchemy,BF,Chemistry
1275,Text,01/04/1998,"Alexandria and Her Schools
Four Lectures Delivered at the Philosophical Institution, Edinburgh",en,"Kingsley, Charles, 1819-1875",Alexandrian school,B,
1347,Text,01/06/1998,A New Philosophy: Henri Bergson,en,"Le Roy, Edouard, 1870-1954; Benson, Vincent [Translator]","Bergson, Henri, 1859-1941",B,Philosophy
1398,Text,01/07/1998,"The Doré Lectures
Being Sunday addresses at the Doré Gallery, London, given in connection with the Higher Thought Centre",en,"Troward, T. (Thomas), 1847-1916",New Thought,BF,
1493,Text,01/10/1998,The Legends of the Jews — Volume 1,en,"Ginzberg, Louis, 1873-1953; Szold, Henrietta, 1860-1945 [Translator]",Jewish legends; Bible. Old Testament -- Legends; Midrash -- Translations into English; Aggada -- Translations into English,BM,Mythology; Judaism
1494,Text,01/10/1998,The Legends of the Jews — Volume 2,en,"Ginzberg, Louis, 1873-1953; Szold, Henrietta, 1860-1945 [Translator]",Jewish legends; Bible. Old Testament -- Legends; Midrash -- Translations into English; Aggada -- Translations into English,BM,Judaism
1549,Text,01/12/1998,Commentary on the Epistle to the Galatians,en,"Luther, Martin, 1483-1546; Graebner, Theodore, 1876-1950 [Translator]",Bible. Galatians -- Commentaries,BS,Christianity
1558,Text,01/12/1998,The Profits of Religion: An Essay in Economic Interpretation,en,"Sinclair, Upton, 1878-1968",Christianity -- Controversial literature,BL,
1561,Text,01/12/1998,Pagan and Christian Creeds: Their Origin and Meaning,en,"Carpenter, Edward, 1844-1929",Religion; Mythology; Paganism; Christianity and other religions,BL,Paganism
1570,Text,01/12/1998,The Power of Concentration,en,"Dumont, Theron Q.",Attention,BF,
1572,Text,01/12/1998,Timaeus,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]",Classical literature; Cosmology -- Early works to 1800,B; PA,
1575,Text,01/12/1998,The Foundations of Personality,en,"Myerson, Abraham, 1881-1948",Character; Mind and body; Personality,BF,
1579,Text,01/12/1998,Lysis,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Socrates, 470 BC-399 BC; Friendship -- Early works to 1800",B; PA,
1580,Text,01/12/1998,Charmides,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Socrates, 470 BC-399 BC; Ethics -- Early works to 1800; Knowledge, Theory of -- Early works to 1800; Temperance -- Early works to 1800",B; PA,
1581,Text,01/12/1998,"The Bible, Douay-Rheims, Complete",en,,Bible,BS,
1582,Text,01/12/1998,"The Bible, Douay-Rheims, New Testament",en,,Bible. New Testament,BS,
1584,Text,01/12/1998,Laches,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Socrates, 470 BC-399 BC; Courage -- Early works to 1800",B; PA,
1591,Text,01/01/1999,Protagoras,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Socrates, 470 BC-399 BC; Virtue -- Early works to 1800; Sophists (Greek philosophy); Protagoras",B; PA,
1592,Text,01/01/1999,"The Greatest English Classic
A Study of the King James Version of the Bible and Its Influence on Life and Literature",en,"McAfee, Cleland Boyd, 1866-1944",Bible -- History; Bible. English -- Versions -- Authorized; Bible and literature; Bible -- Influence,BS,
1598,Text,01/01/1999,Euthydemus,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Logic -- Early works to 1800; Socrates, 470 BC-399 BC; Philosophy, Ancient; Sophists (Greek philosophy)",B; PA,
1600,Text,01/01/1999,Symposium,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Socrates, 470 BC-399 BC; Philosophy, Ancient; Love -- Early works to 1800",B; PA,
1609,Text,01/01/1999,"The Bible, Douay-Rheims, Old Testament — Part 1",en,,Religion; Bible. Old Testament,BS,
1610,Text,01/01/1999,"The Bible, Douay-Rheims, Old Testament — Part 2",en,,Religion; Bible. Old Testament,BS,
1616,Text,01/01/1999,Cratylus,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]",Classical literature; Language and languages -- Philosophy,B; PA,
1636,Text,01/02/1999,Phaedrus,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Socrates, 470 BC-399 BC; Rhetoric -- Early works to 1800; Love -- Early works to 1800; Rhetoric, Ancient; Soul -- Early works to 1800; Lysias",B; PA,
1638,Text,01/02/1999,The New Revelation,en,"Doyle, Arthur Conan, 1859-1930",Spiritualism,BF,
1642,Text,01/02/1999,Euthyphro,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Piety -- Early works to 1800; Socrates, 470 BC-399 BC; Philosophy, Ancient",B; PA,Philosophy
1643,Text,01/02/1999,Meno,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Socrates, 470 BC-399 BC; Ethics -- Early works to 1800; Virtue -- Early works to 1800",B; PA,
1650,Text,01/02/1999,"The Light of Egypt; Or, The Science of the Soul and the Stars — Volume 2",en,"Burgoyne, Thomas H.; Wagner, Belle M.",Occultism; Astrology,BF,
1653,Text,01/02/1999,The Imitation of Christ,en,"Thomas, à Kempis, 1380-1471; Benham, William, 1831-1910 [Translator]",Catholic Church -- Doctrines -- Early works to 1800; Spiritual life -- Catholic Church -- Early works to 1800; Meditations -- Early works to 1800,BV,Harvard Classics; Christianity
1656,Text,01/02/1999,Apology,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Socrates, 470 BC-399 BC; Philosophy, Ancient",B; PA,Harvard Classics; Philosophy
1657,Text,01/03/1999,Crito,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Philosophy, Ancient; Justice -- Early works to 1800; Dialogues, Greek -- Translations into English",B; PA,Harvard Classics
1658,Text,01/03/1999,Phaedo,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]",Classical literature; Immortality (Philosophy) -- Early works to 1800,B; PA,Harvard Classics
1670,Text,01/03/1999,Luther's Little Instruction Book: The Small Catechism of Martin Luther,en,"Luther, Martin, 1483-1546; Smith, Robert E. [Translator]",Lutheran Church -- Catechisms -- English,BX,Christianity
1672,Text,01/03/1999,Gorgias,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]",Classical literature; Political science -- Early works to 1800; Ethics -- Early works to 1800,B; PA,
1673,Text,01/03/1999,Lesser Hippias,en,"Plato (spurious and doubtful works), 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Philosophy, Ancient",B; PA,
1682,Text,01/03/1999,Menexenus,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Rhetoric, Ancient; Rhetoric -- Philosophy",B; PA,
1687,Text,01/03/1999,Parmenides,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Dialectic -- Early works to 1800; Socrates, 470 BC-399 BC; Philosophy, Ancient; Reasoning -- Early works to 1800; Ontology -- Early works to 1800; Parmenides; Zeno, of Elea",B; PA,
1722,Text,01/04/1999,"Martin Luther's Large Catechism, translated by Bente and Dau",en,"Luther, Martin, 1483-1546; Bente, F. (Friedrich), 1858-1930 [Translator]; Dau, W. H. T. (William Herman Theodore), 1864-1944 [Translator]",Lutheran Church -- Catechisms -- English,BX,Christianity
1735,Text,01/05/1999,Sophist,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Logic, Ancient; Ontology; Sophists (Greek philosophy); Methodology; Meaning (Philosophy)",B; PA,
1744,Text,01/05/1999,Philebus,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]",Classical literature; Pleasure -- Early works to 1800,B; PA,
1759,Text,01/05/1999,The Black-Bearded Barbarian : The Life of George Leslie Mackay of Formosa,en,"MacGregor, Mary Esther Miller, 1876-1961","Mackay, George Leslie, 1844-1901; Missionaries -- Taiwan -- Biography; Presbyterian Church in Canada -- Missions; Missions -- Taiwan",BV,
1911,Text,26/02/2006,Concerning Christian Liberty; with Letter of Martin Luther to Pope Leo X.,en,"Luther, Martin, 1483-1546",Reformation -- Germany,BR,Christianity
1959,Text,01/11/1999,The Crown of Thorns: A Token for the Sorrowing,en,"Chapin, E. H. (Edwin Hubbell), 1814-1880",Consolation,BV,
1998,Text,01/12/1999,Thus Spake Zarathustra: A Book for All and None,en,"Nietzsche, Friedrich Wilhelm, 1844-1900; Common, Thomas, 1850-1919 [Translator]","Superman (Philosophical concept); Philosophy, German",B,Philosophy
2017,Text,01/12/1999,"Dhammapada, a Collection of Verses; Being One of the Canonical Books of the Buddhists",en,"Müller, F. Max (Friedrich Max), 1823-1900 [Translator]",Buddhism; Theravada Buddhism -- Sacred texts,BQ,Buddhism
2030,Text,28/03/2006,Legends of Babylon and Egypt in Relation to Hebrew Tradition,en,"King, L. W. (Leonard William), 1869-1919","Deluge; Creation; Cosmogony, Babylonian; Babylonia -- Antiquities; Egypt -- Antiquities; Bible. Old Testament -- Evidences, authority, etc.; Bible -- Evidences, authority, etc.",BM,Mythology; Egypt
2033,Text,01/01/2000,The Unknown Guest,en,"Maeterlinck, Maurice, 1862-1949; Teixeira de Mattos, Alexander, 1865-1921 [Translator]",Parapsychology,BF,
2056,Text,01/02/2000,"The Life of William Carey, Shoemaker & Missionary",en,"Smith, George, 1833-1919","Carey, William, 1761-1834; Missions -- India",BV,
2069,Text,01/02/2000,The Religion of Babylonia and Assyria,en,"Pinches, Theophilus G. (Theophilus Goldridge), 1856-1934",Assyro-Babylonian religion,BL,Paganism
2099,Text,01/03/2000,A History of the Moravian Church,en,"Hutton, J. E. (Joseph Edmund), 1868-",Moravian Church -- History,BX,Christianity
2100,Text,01/03/2000,"Bibeln, Gamla och Nya Testamentet",sv,,Bible,BS,Christianity
2143,Text,01/04/2000,"Bibelen, Det nye Testamente",da,,Bible. New Testament,BS,Christianity
2144,Text,01/04/2000,Det Gamle Testamente af 1931,da,,Bible. Old Testament,BS,Christianity
2274,Text,01/08/2000,How to Live on 24 Hours a Day,en,"Bennett, Arnold, 1867-1931",Conduct of life; Values; Time management,BJ,"Bestsellers, American, 1895-1923"
2330,Text,26/03/2006,Religions of Ancient China,en,"Giles, Herbert Allen, 1845-1935",China -- Religion,BL,Paganism
2388,Text,01/11/2000,"The Song Celestial; Or, Bhagavad-Gîtâ (from the Mahâbhârata)
Being a discourse between Arjuna, Prince of India, and the Supreme Being under the form of Krishna",en,"Arnold, Edwin, Sir, 1832-1904 [Translator]",Epic poetry; Sanskrit poetry -- Translations into English; Hinduism -- Sacred books,BL; PK,Harvard Classics; Hinduism
2395,Text,01/11/2000,The Golden Fleece and the Heroes Who Lived Before Achilles,en,"Colum, Padraic, 1881-1972","Mythology, Greek -- Juvenile literature; Argonauts (Greek mythology) -- Juvenile literature",BL,
2396,Text,01/11/2000,History of the Catholic Church from the Renaissance to the French Revolution — Volume 1,en,"MacCaffrey, James, 1875-1935","Catholic Church -- History -- Modern period, 1500-",BX,Christianity
2412,Text,01/11/2000,The Categories,en,"Aristotle, 384 BCE-322 BCE; Edghill, E. M. [Translator]","Categories (Philosophy); Logic -- Early works to 1800; Philosophy, Ancient",B,Classical Antiquity; Philosophy
2443,Text,01/12/2000,"The Story of the Mormons, from the Date of Their Origin to the Year 1901",en,"Linn, William Alexander, 1846-1917",Utah -- History; Mormons -- History,BX,Latter Day Saints
2455,Text,01/01/2001,History of the Catholic Church from the Renaissance to the French Revolution — Volume 2,en,"MacCaffrey, James, 1875-1935","Catholic Church -- History -- Modern period, 1500-",BX,Christianity
2458,Text,01/01/2001,"Sermons on the Card, and Other Discourses",en,"Latimer, Hugh, 1485?-1555; Morley, Henry, 1822-1894 [Editor]","Church of England -- Sermons; Sermons, English -- 16th century",BX,Christianity
2494,Text,01/02/2001,For Greater Things: The Story of Saint Stanislaus Kostka,en,"Kane, William T. (William Terence), 1880-1946","Kostka, Stanislas, Saint, 1550-1568",BX,
2498,Text,01/02/2001,Addresses by Henry Drummond,en,"Drummond, Henry, 1851-1897","Speeches, addresses, etc.; Theology; Sermons",BR,
2510,Text,01/02/2001,The Invention of a New Religion,en,"Chamberlain, Basil Hall, 1850-1935",Japan -- Civilization; Japan -- Religion,BL,
2513,Text,01/02/2001,God the Known and God the Unknown,en,"Butler, Samuel, 1835-1902",Evolution; God,BL,
2526,Text,01/02/2001,The Yoga Sutras of Patanjali: The Book of the Spiritual Man,en,"Patañjali; Johnston, Charles, 1867-1931 [Editor]",Yoga -- Early works to 1800,B,Hinduism
2529,Text,01/02/2001,The Analysis of Mind,en,"Russell, Bertrand, 1872-1970","Psychology; Consciousness; Knowledge, Theory of",BF,Philosophy
2541,Text,01/03/2001,Character,en,"Smiles, Samuel, 1812-1904",Conduct of life; Character,BJ,
2575,Text,01/04/2001,Confessions of an Inquiring Spirit and Some Miscellaneous Pieces,en,"Coleridge, Samuel Taylor, 1772-1834; Morley, Henry, 1822-1894 [Editor]",Bible -- Inspiration,BS,
2592,Text,01/04/2001,マルチン・ルターの小信仰問答書,ja,"Luther, Martin, 1483-1546",Lutheran Church -- Catechisms,BX,Christianity
2603,Text,01/04/2001,Questionable Amusements and Worthy Substitutes,en,"Judy, J. M.; Trever, Geo. H. (George Henry), 1857- [Author of introduction, etc.]",Christian ethics; Amusements -- Religious aspects -- Methodist Church,BV,
2680,Text,01/06/2001,Meditations,en,"Marcus Aurelius, Emperor of Rome, 121-180",Stoics; Ethics; Life,B,Harvard Classics
2800,Text,01/09/2001,The Koran (Al-Qur'an),en,"Margoliouth, G. (George), 1853-1924 [Author of introduction, etc.]; Rodwell, J. M. (John Medows), 1808-1900 [Translator]",Qur'an,BP,Harvard Classics; Islam
2832,Text,01/09/2001,"Myth, Ritual and Religion, Vol. 1 (of 2)",en,"Lang, Andrew, 1844-1912",Religion; Mythology; Myth; Rites and ceremonies,BL,Mythology; Paganism
2849,Text,01/10/2001,Against Apion,en,"Josephus, Flavius, 38?-100?; Whiston, William, 1667-1752 [Translator]",Judaism -- Apologetic works,BM,Judaism
2881,Text,01/10/2001,The Legends of the Jews — Volume 3,en,"Ginzberg, Louis, 1873-1953; Radin, Paul, 1883-1959 [Translator]",Jewish legends; Bible. Old Testament -- Legends; Midrash -- Translations into English; Aggada -- Translations into English,BM,Judaism
2882,Text,01/10/2001,The Legends of the Jews — Volume 4,en,"Ginzberg, Louis, 1873-1953; Radin, Paul, 1883-1959 [Translator]; Szold, Henrietta, 1860-1945 [Translator]",Jewish legends; Bible. Old Testament -- Legends; Midrash -- Translations into English; Aggada -- Translations into English,BM,Judaism
2940,Text,01/11/2001,"Evolution and Ethics, and Other Essays",en,"Huxley, Thomas Henry, 1825-1895","Salvation Army; Capital; Ethics, Evolutionary",BJ; HM,
3057,Text,01/02/2002,The Common Edition: New Testament,en,"Clontz, T. E. (Timothy E.), 1964- [Translator]",Bible. New Testament,BS,
3150,Text,01/03/2002,"Human Nature, and Other Sermons",en,"Butler, Joseph, 1692-1752; Morley, Henry, 1822-1894 [Editor]","Ethics; Church of England -- Sermons; Sermons, English",B,Christianity
3165,Text,01/04/2002,Rashi,en,"Liber, Maurice, 1884-1956; Seltzer, Adele Szold, 1876-1940 [Translator]","Rashi, 1040-1105; Jewish scholars -- France -- Troyes -- Biography; Rabbis -- France -- Troyes -- Biography",BM,Judaism
3187,Text,16/09/2004,Christian Science,en,"Twain, Mark, 1835-1910","Eddy, Mary Baker, 1821-1910; Christian Science -- Controversial literature",BX,
3270,Text,01/06/2002,"The Jerusalem Sinner Saved; or, Good News for the Vilest of Men",en,"Bunyan, John, 1628-1688","Sin; Salvation; Bible. Luke XXIV, 47 -- Sermons -- Early works to 1800; Sermons, English -- 17th century; Forgiveness of sin -- Sermons -- Early works to 1800",BR,
3283,Text,01/06/2002,The Upanishads,en,"Paramananda, Swami, 1884-1940 [Translator]",Religion; Sanskrit literature -- Translations into English; Mysticism -- Hinduism,BL,
3290,Text,01/06/2002,Valerius Terminus: Of the Interpretation of Nature,en,"Ellis, Robert Leslie, 1817-1859 [Annotator]; Bacon, Francis, 1561-1626",Science -- Methodology,B,
3296,Text,01/06/2002,The Confessions of St. Augustine,en,"Augustine, Saint, Bishop of Hippo, 354-430; Pusey, E. B. (Edward Bouverie), 1800-1882 [Translator]","Augustine, Saint, Bishop of Hippo; Christian saints -- Algeria -- Hippo (Extinct city) -- Biography; Catholic Church -- Bishops -- Biography; Bishops -- Algeria -- Hippo (Extinct city) -- Biography",BR,Classical Antiquity; Harvard Classics; Christianity
3327,Text,01/07/2002,Bulfinch's Mythology: The Age of Fable,en,"Bulfinch, Thomas, 1796-1867","Mythology, Classical; Mythology; Folklore -- Europe",BL,Mythology; Paganism
3351,Text,01/12/2004,"Letters to His Son, 1746-47
On the Fine Art of Becoming a Man of the World and a Gentleman",en,"Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",Conduct of life,BJ,
3352,Text,01/12/2004,"Letters to His Son, 1748
On the Fine Art of Becoming a Man of the World and a Gentleman",en,"Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",Conduct of life,BJ,
